"id";"oil_field";"tag_key";"tag_value";"last_update";"last_actual_update";"description";"note";"status"
"3366";"NRG";"NJ_1_last_skv";"273";"2022-05-15 22:27:24";"2022-05-15 13:00:55";"ГЗУ1";"Скважина";"A"
"3367";"NRG";"NJ_6_LIQUID_TIT";"19";"2022-05-15 22:27:24";"2022-05-15 17:29:07";"ГЗУ6";"Температура Жидкости";"A"
"3368";"NRG";"NJ_6_pit_koll";"28";"2022-05-15 22:27:24";"2022-05-15 17:35:52";"ГЗУ6";"Давление в коллекторе";"A"
"3369";"NRG";"NJ_6_Tekuwi_Otvod";"14";"2022-05-15 22:27:24";"2022-05-15 15:15:55";"ГЗУ6";"Текущий отвод на замере";"A"
"3370";"NRG";"NJ_6_Time_Current";"133";"2022-05-15 22:27:24";"2022-05-15 17:35:55";"ГЗУ6";"Пройденное время";"A"
"3371";"NRG";"NJ_6_last_Qv";"8.30000019073";"2022-05-15 22:27:24";"2022-05-15 15:11:02";"ГЗУ6";"Дебет жидкости объемный";"A"
"3372";"NRG";"NJ_6_last_skv";"413";"2022-05-15 22:27:24";"2022-05-15 15:10:58";"ГЗУ6";"Скважина";"A"
"3373";"NRG";"NJ_7_LIQUID_TIT";"18";"2022-05-15 22:27:24";"2022-05-15 17:26:45";"ГЗУ7";"Температура Жидкости";"A"
"3374";"NRG";"NJ_7_pit_koll";"27";"2022-05-15 22:27:24";"2022-05-15 17:34:36";"ГЗУ7";"Давление в коллекторе";"A"
"3375";"NRG";"NJ_7_Tekuwi_Otvod";"10";"2022-05-15 22:27:24";"2022-05-15 14:15:55";"ГЗУ7";"Текущий отвод на замере";"A"
"3376";"NRG";"NJ_7_Time_Current";"174";"2022-05-15 22:27:24";"2022-05-15 17:35:55";"ГЗУ7";"Пройденное время";"A"
"3377";"NRG";"NJ_7_last_Qv";"6";"2022-05-15 22:27:24";"2022-05-15 13:41:00";"ГЗУ7";"Дебет жидкости объемный";"A"
"3378";"NRG";"NJ_7_last_skv";"341";"2022-05-15 22:27:24";"2022-05-15 13:40:59";"ГЗУ7";"Скважина";"A"
"3379";"NRG";"NJ_8_LIQUID_TIT";"24";"2022-05-15 22:27:24";"2022-05-15 16:30:11";"ГЗУ8";"Температура Жидкости";"A"
"3380";"NRG";"NJ_8_pit_koll";"24";"2022-05-15 22:27:24";"2022-05-15 16:30:11";"ГЗУ8";"Давление в коллекторе";"A"
"3381";"NRG";"NJ_8_Tekuwi_Otvod";"1";"2022-05-15 22:27:24";"2022-05-14 11:21:00";"ГЗУ8";"Текущий отвод на замере";"A"
"3382";"NRG";"NJ_8_Time_Current";"0";"2022-05-15 22:27:24";"2022-05-14 11:21:00";"ГЗУ8";"Пройденное время";"A"
"3383";"NRG";"NJ_8_last_Qv";"0.0";"2022-05-15 22:27:24";"2022-05-14 11:20:26";"ГЗУ8";"Дебет жидкости объемный";"A"
"3384";"NRG";"NJ_8_last_skv";"700";"2022-05-15 22:27:24";"2022-05-14 11:20:49";"ГЗУ8";"Скважина";"A"
